@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
3653,1194416,3502,326,4420,35080,4778,98250,590025399,1458831,7531071,1821931,2205,2984,146140,140084,vpn
1351,439180,1154,325,2960,13180,1469,164826,590025622,1163962,7930496,1597083,946,811,54060,46164,vpn
2160,650106,1799,300,2246,14640,1569,163446,590027950,2468573,16064379,3016001,1504,1325,86420,71964,vpn
1824,554340,1504,303,2960,21940,1709,160296,590025633,1491413,17440429,2528612,1237,1113,72980,60164,vpn
1154,353590,1031,306,1500,19020,2206,134695,590025140,1008960,5605977,1339454,830,784,46180,41244,vpn
1430,427286,1212,298,1500,16100,1357,176007,590025737,1278698,13233383,2170123,986,873,57220,48484,vpn
221,44364,199,200,1500,14640,2288,118701,590025549,407743,1719533,414063,151,152,8860,7964,vpn
310,69114,278,222,1500,5880,737,143023,590025089,631361,7721822,1189692,224,167,12420,11124,vpn
943,256490,771,271,1500,14640,1730,168086,590025017,1360026,14767226,2395973,608,598,37740,30844,vpn
1443,433186,1224,300,2960,10260,1367,145197,590023687,947315,14886715,2035372,982,896,57740,48964,vpn
1847,604694,1528,327,1500,13180,1570,143628,590024157,1696311,34821961,4426048,1209,1127,73900,61124,vpn
